ID,Year,Name,Type,Origin,Country
1,2020,Hanwha Tigon,6x6 Wheeled Armored Personnel Carrier (APC),South Korea,Malaysia
2,2005,FNSS PARS (Anatolian Leopard),6x6 / 8x8 Armored Personnel Carrier (APC),Turkey,Malaysia
3,1998,URO VAMTAC,Multirole / Multipurpose Military Vehicle,Spain,Malaysia
4,1995,PT-91 Twardy,Main Battle Tank (MBT),Poland,Malaysia
5,1992,FNSS ACV-15,Infantry Fighting Vehicle (IFV) / Armored Personnel Carrier (APC),Turkey,Malaysia
6,1990,IVECO VM90,Light Multi-Mission Military Vehicle,Italy,Malaysia
7,1985,K200 KIFV,Infantry Fighting Vehicle (IFV),South Korea,Malaysia
8,1983,Avibras ASTROS II (Artillery SaTuration ROcket System),6x6 Wheeled Multiple Launch Rocket System (MLRS),Brazil,Malaysia
9,1983,BNCFM SIBMAS,6x6 Wheeled Armored Fighting Vehicle (AFV),Belgium,Malaysia
10,1983,Denel GV5 Luiperd (G5 Leopard),Towed 155mm Heavy Field Howitzer,South Africa,Malaysia
11,1983,Land Rover Defender 110,Multi-Purpose Light Combat Vehicle,Britain,Malaysia
12,1983,Saxon AT105,Wheeled Armored Personnel Carrier (APC),Britain,Malaysia
13,1982,HEMTT (Heavy Expanded Mobility Tactical Truck),Heavy-class Military Vehicle,United States,Malaysia
14,1982,M939,5-ton Multi-Purpose Military Truck,United States,Malaysia
15,1981,Alvis FV4333 Stormer,Armored Personnel Carrier (APC) / Multirole Armored Fighting Vehicle (AFV),Britain,Malaysia
16,1981,Rheinmetall Landsysteme Condor,Wheeled Armored Personnel Carrier / Multipurpose Vehicle,Germany,Malaysia
17,1980,Hagglunds Bandvagn 206,"All-Terrain, Articulated Tracked Multi-Role Vehicle",Sweden,Malaysia
18,1978,FH70 (Field Howitzer 1970),155mm Towed Howitzer,Britain,Malaysia
19,1976,"L118 Light Gun (Gun, 105mm, Field, L118)",105mm Towed Light Howitzer,Britain,Malaysia
20,1975,FMS AIFV (Armored Infantry Fighting Vehicle) / (M113A1),Infantry Fighting Vehicle (IFV),United States,Malaysia
21,1973,Alvis FV101 Scorpion,Light Armored Reconnaissance Vehicle,Britain,Malaysia
22,1973,Panhard M3,Light-Armored Multirole Combat Car / Security Vehicle,France,Malaysia
23,1970,WZT ARV (Series),Armored Recovery Vehicle,Poland,Malaysia
24,1963,Cadillac Gage Commando (M706 / G-392),Armored Car / Reconnaissance / Security Vehicle,United States,Malaysia
25,1960,Panhard AML (Auto Mitrailleuse Legere),Wheeled Light Armored Scout / Reconnaissance Car,France,Malaysia
26,1956,OTO Melara Mod 56,105mm Pack Howitzer / Lightweight Artillery Piece,Italy,Malaysia
27,1952,Daimler Ferret,4x4 Armored Car,Britain,Malaysia
28,1942,Daimler Armored Car,Four-Wheeled Light Armored Fighting Vehicle (LAFV),Britain,Malaysia
29,1941,Ordnance BL 5.5-inch,Towed Field Gun,Britain,Malaysia
30,1940,Morris Light Reconnaissance Car (LRC),Fast Armored Car,Britain,Malaysia
